route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06260926-ST,20260904,20260904-ST-7433,ST - Union Station GO,,1,09P,MJUN,1,1,
06260926-LE,20260904,20260904-LE-9025,LE - Union Station GO,,1,04A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1620,LW - Union Station GO,,1,01A,WRUN,1,1,
06260926-GT,20260904,20260904-GT-3604,KI - Union Station GO,,1,56A,GEUN,1,2,
06260926-LW,20260904,20260904-LW-1034,LW - Union Station GO,,1,19A,ALUN,1,1,
06260926-GT,20260904,20260904-GT-3010,KI - Union Station GO,,1,26A,BEUN,1,2,
06260926-MI,20260904,20260904-MI-2745,MI - Milton GO,,0,50P,UNML,1,2,
06260926-BR,20260904,20260904-BR-6322,BR - Union Station GO,,1,55A,AUUN,1,1,
06260926-LE,20260904,20260904-LE-9017,LE - Union Station GO,,1,24A,OSUN,1,1,
06260926-LE,20260904,20260904-LE-9122,LE - Durham College Oshawa GO,,0,24A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3836,KI - Union Station GO,,1,70P,KIUN,1,1,
06260926-RH,20260904,20260904-RH-5208,RH - Union Station GO,,1,47A,BMUN,1,2,
06260926-LE,20260904,20260904-LE-9332,LE - Durham College Oshawa GO,,0,16P,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1258,LW - Union Station GO,,1,23A,ALUN,1,2,
06260926-BR,20260904,20260904-BR-6332,BR - Union Station GO,,1,55A,AUUN,1,1,
06260926-GT,20260904,20260904-GT-3028,KI - Union Station GO,,1,55A,BEUN,1,1,
06260926-LW,20260904,20260904-LW-1622,LW - Union Station GO,,1,19A,WRUN,1,1,
06260926-GT,20260904,20260904-GT-3515,KI - Mount Pleasant GO,,0,26A,UNMO,1,1,
06260926-GT,20260904,20260904-GT-3019,KI - Bramalea GO,,0,17P,UNBE,1,1,
06260926-BR,20260904,20260904-BR-6808,BR - Union Station GO,,1,70A,ADUN,1,2,
06260926-LE,20260904,20260904-LE-9307,LE - Union Station GO,,1,28A,OSUN,1,2,
06260926-MI,20260904,20260904-MI-2718,MI - Union Station GO,,1,40A,MLUN,1,2,
06260926-GT,20260904,20260904-GT-3016,KI - Union Station GO,,1,44A,BEUN,1,1,
06260926-LE,20260904,20260904-LE-9015,LE - Union Station GO,,1,49A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1610,LW - Union Station GO,,1,24A,WRUN,1,1,
06260926-LE,20260904,20260904-LE-9120,LE - Durham College Oshawa GO,,0,25A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3859,KI - Kitchener GO,,0,40A,UNKI,1,1,
06260926-GT,20260904,20260904-GT-3025,KI - Bramalea GO,,0,55A,UNBE,1,2,
06260926-LE,20260904,20260904-LE-9334,LE - Durham College Oshawa GO,,0,47P,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1715,LW - Confederation GO,,0,23A,UNCF,1,1,
06260926-BR,20260904,20260904-BR-6334,BR - Union Station GO,,1,07P,AUUN,1,1,
06260926-LW,20260904,20260904-LW-1639,LW - West Harbour GO,,0,19A,UNWR,1,1,
06260926-LE,20260904,20260904-LE-9208,LE - Durham College Oshawa GO,,0,49A,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1033,LW - Aldershot GO,,0,30A,UNAL,1,1,
06260926-GT,20260904,20260904-GT-3513,KI - Mount Pleasant GO,,0,55A,UNMO,1,1,
06260926-LE,20260904,20260904-LE-9112,LE - Durham College Oshawa GO,,0,19A,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9239,LE - Union Station GO,,1,19A,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3014,KI - Union Station GO,,1,26A,BEUN,1,1,
06260926-LW,20260904,20260904-LW-1020,LW - Union Station GO,,1,49A,ALUN,1,1,
06260926-GT,20260904,20260904-GT-3209,KI - Bramalea GO,,0,01A,UNBE,1,1,
06260926-RH,20260904,20260904-RH-5329,RH - Bloomington GO,,0,61P,UNBM,1,1,
06260926-LW,20260904,20260904-LW-1612,LW - Union Station GO,,1,27A,WRUN,1,1,
06260926-LE,20260904,20260904-LE-9126,LE - Durham College Oshawa GO,,0,28P,UNOS,1,2,
06260926-LE,20260904,20260904-LE-9336,LE - Durham College Oshawa GO,,0,28P,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9205,LE - Union Station GO,,1,24A,OSUN,1,2,
06260926-GT,20260904,20260904-GT-3522,KI - Union Station GO,,1,02A,MOUN,1,1,
06260926-GT,20260904,20260904-GT-3230,KI - Union Station GO,,1,68P,BEUN,1,1,
06260926-LW,20260904,20260904-LW-1029,LW - Aldershot GO,,0,19A,UNAL,1,2,
06260926-ST,20260904,20260904-ST-7436,ST - Mount Joy GO,,0,61P,UNMJ,1,1,
06260926-GT,20260904,20260904-GT-3818,KI - Union Station GO,,1,54A,KIUN,1,1,
06260926-MI,20260904,20260904-MI-2714,MI - Union Station GO,,1,38A,MLUN,1,2,
06260926-MI,20260904,20260904-MI-2727,MI - Milton GO,,0,29P,UNML,1,2,
06260926-LW,20260904,20260904-LW-1960,LW - Union Station GO,,1,15A,NIUN,1,2,
06260926-LW,20260904,20260904-LW-1026,LW - Union Station GO,,1,28P,ALUN,1,1,
06260926-RH,20260904,20260904-RH-5008,RH - Union Station GO,,1,46A,BMUN,1,2,
06260926-MI,20260904,20260904-MI-2737,MI - Milton GO,,0,32P,UNML,1,2,
06260926-LE,20260904,20260904-LE-9124,LE - Durham College Oshawa GO,,0,27A,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1604,LW - Union Station GO,,1,02A,WRUN,1,2,
06260926-LE,20260904,20260904-LE-9207,LE - Union Station GO,,1,27A,OSUN,1,2,
06260926-LE,20260904,20260904-LE-9320,LE - Durham College Oshawa GO,,0,26A,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1635,LW - West Harbour GO,,0,03A,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3520,KI - Union Station GO,,1,26A,MOUN,1,1,
06260926-GT,20260904,20260904-GT-3022,KI - Union Station GO,,1,17P,BEUN,1,1,
06260926-GT,20260904,20260904-GT-3856,KI - Union Station GO,,1,59A,KIUN,1,2,
06260926-BR,20260904,20260904-BR-6923,BR - Allandale Waterfront GO,,0,02A,UNAD,1,2,
06260926-GT,20260904,20260904-GT-3811,KI - Kitchener GO,,0,54A,UNKI,1,1,
06260926-ST,20260904,20260904-ST-7423,ST - Union Station GO,,1,72A,MJUN,1,1,
06260926-LE,20260904,20260904-LE-9624,LE - Whitby GO,,0,54A,UNWH,1,2,
06260926-BR,20260904,20260904-BR-6313,BR - Aurora GO,,0,62A,UNAU,1,1,
06260926-GT,20260904,20260904-GT-3013,KI - Bramalea GO,,0,44A,UNBE,1,1,
06260926-ST,20260904,20260904-ST-7434,ST - Mount Joy GO,,0,09P,UNMJ,1,1,
06260926-LE,20260904,20260904-LE-9116,LE - Durham College Oshawa GO,,0,34A,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1641,LW - West Harbour GO,,0,23P,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3877,KI - Kitchener GO,,0,13P,UNKI,1,2,
06260926-LW,20260904,20260904-LW-1024,LW - Union Station GO,,1,27A,ALUN,1,1,
06260926-ST,20260904,20260904-ST-7638,ST - Old Elm GO,,0,48P,UNLI,1,1,
06260926-GT,20260904,20260904-GT-3206,KI - Union Station GO,,1,08A,BEUN,1,2,
06260926-MI,20260904,20260904-MI-2731,MI - Milton GO,,0,37P,UNML,1,2,
06260926-ST,20260904,20260904-ST-7412,ST - Mount Joy GO,,0,72A,UNMJ,1,1,
06260926-LE,20260904,20260904-LE-9007,LE - Union Station GO,,1,25A,OSUN,1,2,
06260926-LW,20260904,20260904-LW-1019,LW - Aldershot GO,,0,27A,UNAL,1,1,
06260926-GT,20260904,20260904-GT-3539,KI - Mount Pleasant GO,,0,09P,UNMO,1,1,
06260926-LE,20260904,20260904-LE-9010,LE - Durham College Oshawa GO,,0,25A,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1016,LW - Union Station GO,,1,34A,ALUN,1,1,
06260926-LE,20260904,20260904-LE-9008,LE - Durham College Oshawa GO,,0,05A,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9322,LE - Durham College Oshawa GO,,0,19A,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1637,LW - West Harbour GO,,0,40P,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3227,KI - Bramalea GO,,0,07P,UNBE,1,2,
06260926-LW,20260904,20260904-LW-1860,LW - Union Station GO,,1,22A,HAUN,1,2,
06260926-ST,20260904,20260904-ST-7421,ST - Union Station GO,,1,73A,MJUN,1,1,
06260926-LW,20260904,20260904-LW-1775,LW - Confederation GO,,0,16P,UNCF,1,2,
06260926-ST,20260904,20260904-ST-7709,ST - Union Station GO,,1,52A,LIUN,1,2,
06260926-LE,20260904,20260904-LE-9039,LE - Union Station GO,,1,16P,OSUN,1,1,
06260926-LE,20260904,20260904-LE-9626,LE - Whitby GO,,0,01A,UNWH,1,2,
06260926-BR,20260904,20260904-BR-6315,BR - Aurora GO,,0,28P,UNAU,1,1,
06260926-LE,20260904,20260904-LE-9114,LE - Durham College Oshawa GO,,0,30A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3009,KI - Bramalea GO,,0,28A,UNBE,1,1,
06260926-MI,20260904,20260904-MI-2723,MI - Milton GO,,0,17P,UNML,1,2,
06260926-GT,20260904,20260904-GT-3875,KI - Kitchener GO,,0,63P,UNKI,1,2,
06260926-BR,20260904,20260904-BR-6318,BR - Union Station GO,,1,28P,AUUN,1,1,
06260926-LE,20260904,20260904-LE-9310,LE - Durham College Oshawa GO,,0,24A,UNOS,1,1,
06260926-LW,20260904,20260904-LW-1127,LW - Oakville GO,,0,61P,UNOA,1,2,
06260926-ST,20260904,20260904-ST-7410,ST - Mount Joy GO,,0,23A,UNMJ,1,1,
06260926-LE,20260904,20260904-LE-9005,LE - Union Station GO,,1,23A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1014,LW - Union Station GO,,1,30A,ALUN,1,1,
06260926-LE,20260904,20260904-LE-9324,LE - Durham College Oshawa GO,,0,23P,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1631,LW - West Harbour GO,,0,28P,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3656,KI - Union Station GO,,1,57A,GEUN,1,2,
06260926-GT,20260904,20260904-GT-3030,KI - Union Station GO,,1,07P,BEUN,1,1,
06260926-BR,20260904,20260904-BR-6927,BR - Allandale Waterfront GO,,0,48P,UNAD,1,2,
06260926-BR,20260904,20260904-BR-6317,BR - Aurora GO,,0,55A,UNAU,1,1,
06260926-LW,20260904,20260904-LW-1023,LW - Aldershot GO,,0,18A,UNAL,1,1,
06260926-ST,20260904,20260904-ST-7428,ST - Mount Joy GO,,0,09P,UNMJ,1,2,
06260926-LE,20260904,20260904-LE-9229,LE - Union Station GO,,1,27A,OSUN,1,1,
06260926-BR,20260904,20260904-BR-6937,BR - Allandale Waterfront GO,,0,68P,UNAD,1,1,
06260926-LE,20260904,20260904-LE-9312,LE - Durham College Oshawa GO,,0,27A,UNOS,1,1,
06260926-ST,20260904,20260904-ST-7419,ST - Union Station GO,,1,02A,MJUN,1,1,
06260926-LW,20260904,20260904-LW-1041,LW - Aldershot GO,,0,47P,UNAL,1,1,
06260926-LW,20260904,20260904-LW-1306,LW - Union Station GO,,1,04A,APUN,1,2,
06260926-BR,20260904,20260904-BR-6521,BR - Bradford GO,,0,35P,UNBD,1,1,
06260926-LE,20260904,20260904-LE-9326,LE - Durham College Oshawa GO,,0,30A,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1988,LW - Union Station GO,,1,64P,NIUN,1,1,
06260926-LW,20260904,20260904-LW-1633,LW - West Harbour GO,,0,18A,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3036,KI - Union Station GO,,1,36P,BEUN,1,1,
06260926-ST,20260904,20260904-ST-7705,ST - Union Station GO,,1,49A,LIUN,1,1,
06260926-LE,20260904,20260904-LE-9109,LE - Union Station GO,,1,01A,OSUN,1,2,
06260926-ST,20260904,20260904-ST-7209,ST - Union Station GO,,1,56A,UIUN,1,2,
06260926-LW,20260904,20260904-LW-1638,LW - Union Station GO,,1,18A,WRUN,1,1,
06260926-BR,20260904,20260904-BR-6935,BR - Allandale Waterfront GO,,0,07P,UNAD,1,1,
06260926-LE,20260904,20260904-LE-9314,LE - Durham College Oshawa GO,,0,56A,UNOS,1,1,
06260926-ST,20260904,20260904-ST-7417,ST - Union Station GO,,1,72A,MJUN,1,1,
06260926-MI,20260904,20260904-MI-2741,MI - Milton GO,,0,21P,UNML,1,2,
06260926-LW,20260904,20260904-LW-1619,LW - West Harbour GO,,0,30A,UNWR,1,1,
06260926-LE,20260904,20260904-LE-9224,LE - Durham College Oshawa GO,,0,15P,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1013,LW - Aldershot GO,,0,04A,UNAL,1,1,
06260926-GT,20260904,20260904-GT-3533,KI - Mount Pleasant GO,,0,62P,UNMO,1,1,
06260926-LW,20260904,20260904-LW-1323,LW - Oakville GO,,0,36P,UNOA,1,2,
06260926-LW,20260904,20260904-LW-1756,LW - Union Station GO,,1,16A,CFUN,1,2,
06260926-BR,20260904,20260904-BR-6108,BR - Union Station GO,,1,66A,AUUN,1,2,
06260926-LE,20260904,20260904-LE-9219,LE - Union Station GO,,1,30A,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3034,KI - Union Station GO,,1,58P,BEUN,1,1,
06260926-BR,20260904,20260904-BR-6727,BR - Allandale Waterfront GO,,0,06P,UNAD,1,2,
06260926-LE,20260904,20260904-LE-9033,LE - Union Station GO,,1,30A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1031,LW - Aldershot GO,,0,23P,UNAL,1,1,
06260926-LE,20260904,20260904-LE-9316,LE - Durham College Oshawa GO,,0,18A,UNOS,1,1,
06260926-ST,20260904,20260904-ST-7415,ST - Union Station GO,,1,23A,MJUN,1,1,
06260926-MI,20260904,20260904-MI-2724,MI - Union Station GO,,1,43A,MLUN,1,2,
06260926-LE,20260904,20260904-LE-9226,LE - Durham College Oshawa GO,,0,36P,UNOS,1,2,
06260926-RH,20260904,20260904-RH-5010,RH - Union Station GO,,1,48A,BMUN,1,2,
06260926-LE,20260904,20260904-LE-9138,LE - Durham College Oshawa GO,,0,30A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3531,KI - Mount Pleasant GO,,0,59P,UNMO,1,1,
06260926-BR,20260904,20260904-BR-6331,BR - Aurora GO,,0,07P,UNAU,1,1,
06260926-LW,20260904,20260904-LW-1009,LW - Aldershot GO,,0,30A,UNAL,1,1,
06260926-LW,20260904,20260904-LW-1325,LW - Oakville GO,,0,70P,UNOA,1,2,
06260926-GT,20260904,20260904-GT-3529,KI - Mount Pleasant GO,,0,08P,UNMO,1,1,
06260926-BR,20260904,20260904-BR-6919,BR - Allandale Waterfront GO,,0,67P,UNAD,1,1,
06260926-LW,20260904,20260904-LW-1006,LW - Union Station GO,,1,03A,ALUN,1,2,
06260926-MI,20260904,20260904-MI-2706,MI - Union Station GO,,1,35A,MLUN,1,2,
06260926-LW,20260904,20260904-LW-1627,LW - West Harbour GO,,0,47P,UNWR,1,2,
06260926-LW,20260904,20260904-LW-1037,LW - Aldershot GO,,0,04A,UNAL,1,1,
06260926-LW,20260904,20260904-LW-1977,LW - Niagara Falls GO,,0,64P,UNNI,1,2,
06260926-LE,20260904,20260904-LE-9029,LE - Union Station GO,,1,19A,OSUN,1,1,
06260926-MI,20260904,20260904-MI-2716,MI - Union Station GO,,1,39A,MLUN,1,2,
06260926-LE,20260904,20260904-LE-9309,LE - Union Station GO,,1,02A,OSUN,1,2,
06260926-LE,20260904,20260904-LE-9026,LE - Durham College Oshawa GO,,0,59P,UNOS,1,2,
06260926-LW,20260904,20260904-LW-1038,LW - Union Station GO,,1,30A,ALUN,1,1,
06260926-LE,20260904,20260904-LE-9241,LE - Union Station GO,,1,23P,OSUN,1,1,
06260926-BR,20260904,20260904-BR-6333,BR - Aurora GO,,0,08P,UNAU,1,1,
06260926-GT,20260904,20260904-GT-3033,KI - Bramalea GO,,0,36P,UNBE,1,1,
06260926-LW,20260904,20260904-LW-1873,LW - Hamilton GO Centre,,0,33P,UNHA,1,2,
06260926-LW,20260904,20260904-LW-1327,LW - Appleby GO,,0,39P,UNAP,1,2,
06260926-LE,20260904,20260904-LE-9709,LE - Union Station GO,,1,33A,WHUN,1,2,
06260926-GT,20260904,20260904-GT-3776,KI - Union Station GO,,1,40P,KIUN,1,1,
06260926-LW,20260904,20260904-LW-1004,LW - Union Station GO,,1,01A,ALUN,1,1,
06260926-LW,20260904,20260904-LW-1621,LW - West Harbour GO,,0,34A,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3020,KI - Union Station GO,,1,25A,BEUN,1,1,
06260926-BR,20260904,20260904-BR-6912,BR - Union Station GO,,1,73A,ADUN,1,1,
06260926-ST,20260904,20260904-ST-7711,ST - Union Station GO,,1,54A,LIUN,1,2,
06260926-GT,20260904,20260904-GT-3817,KI - Kitchener GO,,0,53A,UNKI,1,1,
06260926-LW,20260904,20260904-LW-1035,LW - Aldershot GO,,0,34A,UNAL,1,1,
06260926-GT,20260904,20260904-GT-3011,KI - Bramalea GO,,0,02A,UNBE,1,1,
06260926-ST,20260904,20260904-ST-7432,ST - Mount Joy GO,,0,68P,UNMJ,1,1,
06260926-RH,20260904,20260904-RH-5127,RH - Bloomington GO,,0,56P,UNBM,1,2,
06260926-MI,20260904,20260904-MI-2710,MI - Union Station GO,,1,36A,MLUN,1,2,
06260926-LE,20260904,20260904-LE-9024,LE - Durham College Oshawa GO,,0,52P,UNOS,1,2,
06260926-BR,20260904,20260904-BR-6325,BR - Aurora GO,,0,53A,UNAU,1,2,
06260926-BR,20260904,20260904-BR-6504,BR - Union Station GO,,1,65A,BDUN,1,1,
06260926-ST,20260904,20260904-ST-7624,ST - Old Elm GO,,0,20P,UNLI,1,2,
06260926-LW,20260904,20260904-LW-1617,LW - West Harbour GO,,0,19A,UNWR,1,1,
06260926-BR,20260904,20260904-BR-6627,BR - Allandale Waterfront GO,,0,71P,UNAD,1,2,
06260926-LE,20260904,20260904-LE-9019,LE - Union Station GO,,1,27A,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3779,KI - Kitchener GO,,0,70P,UNKI,1,2,
06260926-GT,20260904,20260904-GT-3029,KI - Bramalea GO,,0,68P,UNBE,1,2,
06260926-GT,20260904,20260904-GT-3824,KI - Union Station GO,,1,53A,KIUN,1,1,
06260926-LE,20260904,20260904-LE-9338,LE - Durham College Oshawa GO,,0,18A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3026,KI - Union Station GO,,1,01A,BEUN,1,1,
06260926-BR,20260904,20260904-BR-6910,BR - Union Station GO,,1,72A,ADUN,1,1,
06260926-ST,20260904,20260904-ST-7713,ST - Union Station GO,,1,55A,LIUN,1,1,
06260926-ST,20260904,20260904-ST-7907,ST - Union Station GO,,1,51A,LIUN,1,2,
06260926-GT,20260904,20260904-GT-3017,KI - Bramalea GO,,0,25A,UNBE,1,1,
06260926-ST,20260904,20260904-ST-7430,ST - Mount Joy GO,,0,10P,UNMJ,1,1,
06260926-LW,20260904,20260904-LW-1628,LW - Union Station GO,,1,34A,WRUN,1,1,
06260926-MI,20260904,20260904-MI-2712,MI - Union Station GO,,1,37A,MLUN,1,2,
06260926-LE,20260904,20260904-LE-9231,LE - Union Station GO,,1,28P,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3516,KI - Union Station GO,,1,55A,MOUN,1,1,
06260926-GT,20260904,20260904-GT-3018,KI - Union Station GO,,1,33P,BEUN,1,1,
06260926-ST,20260904,20260904-ST-7626,ST - Old Elm GO,,0,51P,UNLI,1,2,
06260926-LW,20260904,20260904-LW-1611,LW - West Harbour GO,,0,03A,UNWR,1,1,
06260926-LW,20260904,20260904-LW-1125,LW - Oakville GO,,0,13P,UNOA,1,2,
06260926-LW,20260904,20260904-LW-1609,LW - West Harbour GO,,0,56A,UNWR,1,1,
06260926-GT,20260904,20260904-GT-3862,KI - Union Station GO,,1,62A,KIUN,1,1,
06260926-LE,20260904,20260904-LE-9209,LE - Union Station GO,,1,32A,OSUN,1,2,
06260926-GT,20260904,20260904-GT-3024,KI - Union Station GO,,1,54A,BEUN,1,1,
06260926-GT,20260904,20260904-GT-3858,KI - Union Station GO,,1,60A,KIUN,1,2,
06260926-ST,20260904,20260904-ST-7439,ST - Union Station GO,,1,09P,MJUN,1,1,
06260926-LE,20260904,20260904-LE-9023,LE - Union Station GO,,1,18A,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3015,KI - Bramalea GO,,0,33P,UNBE,1,1,
06260926-LW,20260904,20260904-LW-1961,LW - Niagara Falls GO,,0,07A,UNNI,1,1,
06260926-LW,20260904,20260904-LW-1021,LW - Aldershot GO,,0,28P,UNAL,1,1,
06260926-LW,20260904,20260904-LW-X1987,LW - Niagara Falls GO,,0,59P,UNNI,1,1,
06260926-ST,20260904,20260904-ST-7324,ST - Unionville GO,,0,08P,UNUI,1,2,
06260926-BR,20260904,20260904-BR-6608,BR - Union Station GO,,1,69A,ADUN,1,2,
06260926-LE,20260904,20260904-LE-9233,LE - Union Station GO,,1,18A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1032,LW - Union Station GO,,1,40P,ALUN,1,1,
06260926-GT,20260904,20260904-GT-3514,KI - Union Station GO,,1,08A,MOUN,1,1,
06260926-RH,20260904,20260904-RH-5323,RH - Bloomington GO,,0,72A,UNBM,1,2,
06260926-LE,20260904,20260904-LE-9041,LE - Union Station GO,,1,47P,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1613,LW - West Harbour GO,,0,01A,UNWR,1,1,
06260926-LE,20260904,20260904-LE-9609,LE - Union Station GO,,1,31A,WHUN,1,2,
06260926-LW,20260904,20260904-LW-1856,LW - Union Station GO,,1,20A,HAUN,1,2,
06260926-GT,20260904,20260904-GT-3860,KI - Union Station GO,,1,61A,KIUN,1,1,
06260926-GT,20260904,20260904-GT-3823,KI - Kitchener GO,,0,31P,UNKI,1,2,
06260926-GT,20260904,20260904-GT-3208,KI - Union Station GO,,1,45A,BEUN,1,2,
06260926-GT,20260904,20260904-GT-3775,KI - Kitchener GO,,0,38P,UNKI,1,2,
06260926-LW,20260904,20260904-LW-1675,LW - West Harbour GO,,0,04A,UNWR,1,2,
06260926-LW,20260904,20260904-LW-1618,LW - Union Station GO,,1,03A,WRUN,1,1,
06260926-LE,20260904,20260904-LE-9128,LE - Durham College Oshawa GO,,0,18A,UNOS,1,2,
06260926-GT,20260904,20260904-GT-3521,KI - Mount Pleasant GO,,0,49A,UNMO,1,1,
06260926-LE,20260904,20260904-LE-9707,LE - Union Station GO,,1,29A,WHUN,1,2,
06260926-ST,20260904,20260904-ST-7222,ST - Unionville GO,,0,69P,UNUI,1,2,
06260926-ST,20260904,20260904-ST-7129,ST - Union Station GO,,1,08P,UIUN,1,1,
06260926-ST,20260904,20260904-ST-7437,ST - Union Station GO,,1,68P,MJUN,1,1,
06260926-ST,20260904,20260904-ST-7707,ST - Union Station GO,,1,50A,LIUN,1,2,
06260926-LE,20260904,20260904-LE-9204,LE - Durham College Oshawa GO,,0,02A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3040,KI - Union Station GO,,1,10P,BEUN,1,1,
06260926-LE,20260904,20260904-LE-9235,LE - Union Station GO,,1,03A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1028,LW - Union Station GO,,1,18A,ALUN,1,1,
06260926-GT,20260904,20260904-GT-3205,KI - Bramalea GO,,0,07A,UNBE,1,1,
06260926-RH,20260904,20260904-RH-5325,RH - Bloomington GO,,0,46P,UNBM,1,2,
06260926-ST,20260904,20260904-ST-7622,ST - Old Elm GO,,0,73A,UNLI,1,1,
06260926-LW,20260904,20260904-LW-1854,LW - Union Station GO,,1,19A,HAUN,1,2,
06260926-LW,20260904,20260904-LW-1605,LW - West Harbour GO,,0,24A,UNWR,1,1,
06260926-RH,20260904,20260904-RH-5006,RH - Union Station GO,,1,45A,BMUN,1,2,
06260926-LE,20260904,20260904-LE-9013,LE - Union Station GO,,1,04A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1011,LW - Aldershot GO,,0,34A,UNAL,1,1,
06260926-GT,20260904,20260904-GT-3023,KI - Bramalea GO,,0,01A,UNBE,1,1,
06260926-ST,20260904,20260904-ST-7435,ST - Union Station GO,,1,10P,MJUN,1,1,
06260926-LE,20260904,20260904-LE-9206,LE - Durham College Oshawa GO,,0,04A,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9031,LE - Union Station GO,,1,23P,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1634,LW - Union Station GO,,1,47P,WRUN,1,1,
06260926-LE,20260904,20260904-LE-9118,LE - Durham College Oshawa GO,,0,33P,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9237,LE - Union Station GO,,1,40P,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3012,KI - Union Station GO,,1,01A,BEUN,1,1,
06260926-RH,20260904,20260904-RH-5327,RH - Bloomington GO,,0,45P,UNBM,1,2,
06260926-LW,20260904,20260904-LW-1640,LW - Union Station GO,,1,03A,WRUN,1,1,
06260926-MI,20260904,20260904-MI-2726,MI - Union Station GO,,1,44A,MLUN,1,1,
06260926-ST,20260904,20260904-ST-7826,ST - Old Elm GO,,0,42P,UNLI,1,2,
06260926-LW,20260904,20260904-LW-1607,LW - West Harbour GO,,0,27A,UNWR,1,1,
06260926-LW,20260904,20260904-LW-1308,LW - Union Station GO,,1,49A,APUN,1,2,
06260926-BR,20260904,20260904-BR-6825,BR - Allandale Waterfront GO,,0,22P,UNAD,1,2,
06260926-LW,20260904,20260904-LW-1017,LW - Aldershot GO,,0,24A,UNAL,1,1,
06260926-LE,20260904,20260904-LE-9009,LE - Union Station GO,,1,30A,OSUN,1,2,
06260926-LE,20260904,20260904-LE-9006,LE - Durham College Oshawa GO,,0,03A,UNOS,1,1,
06260926-GT,20260904,20260904-GT-3760,KI - Union Station GO,,1,64A,KIUN,1,2,
06260926-LW,20260904,20260904-LW-1018,LW - Union Station GO,,1,04A,ALUN,1,1,
06260926-LE,20260904,20260904-LE-9328,LE - Durham College Oshawa GO,,0,34A,UNOS,1,1,
06260926-LE,20260904,20260904-LE-9037,LE - Union Station GO,,1,04A,OSUN,1,1,
06260926-LW,20260904,20260904-LW-1636,LW - Union Station GO,,1,28P,WRUN,1,1,
06260926-GT,20260904,20260904-GT-3007,KI - Bramalea GO,,0,45A,UNBE,1,1,
06260926-BR,20260904,20260904-BR-6606,BR - Union Station GO,,1,67A,ADUN,1,2,
06260926-ST,20260904,20260904-ST-7420,ST - Mount Joy GO,,0,03A,UNMJ,1,1,
06260926-MI,20260904,20260904-MI-2729,MI - Milton GO,,0,05P,UNML,1,2,
06260926-LE,20260904,20260904-LE-9221,LE - Union Station GO,,1,34A,OSUN,1,1,
06260926-GT,20260904,20260904-GT-3008,KI - Union Station GO,,1,07A,BEUN,1,2,
06260926-LW,20260904,20260904-LW-1858,LW - Union Station GO,,1,21A,HAUN,1,2,
06260926-MI,20260904,20260904-MI-2720,MI - Union Station GO,,1,41A,MLUN,1,2,
06260926-LW,20260904,20260904-LW-1732,LW - Union Station GO,,1,16P,CFUN,1,1,
06260926-ST,20260904,20260904-ST-7824,ST - Old Elm GO,,0,49A,UNLI,1,2,
06260926-GT,20260904,20260904-GT-3625,KI - Georgetown GO,,0,57P,UNGE,1,2,
